tiempo_ms,Vm_R_mV,Vm_Q_mV,Delta_mV
0.0,-70.0,-70.0,0.0
0.025,-69.94710870654205,-69.94710870654205,0.0
0.05,-69.91667812429752,-69.91667812429752,0.0
0.075,-69.89680439858505,-69.89680439858505,0.0
0.09999999999999999,-69.88204027586896,-69.88204027586896,0.0
0.12499999999999999,-69.8698672235754,-69.8698672235754,0.0
0.15,-69.85910099601789,-69.85910099601789,0.0
0.17500000000000002,-69.84916896221449,-69.84916896221449,0.0
0.20000000000000004,-69.83978174835569,-69.83978174835569,0.0
0.22500000000000006,-69.83078346300611,-69.83078346300611,0.0
0.25000000000000006,-69.82208293833993,-69.82208293833993,0.0
0.2750000000000001,-69.81362182077436,-69.81362182077436,0.0
0.3000000000000001,-69.80535949217624,-69.80535949217624,0.0
0.3250000000000001,-69.79726573114664,-69.79726573114664,0.0
0.35000000000000014,-69.78931697469689,-69.78931697469689,0.0
0.37500000000000017,-69.78149428666357,-69.78149428666357,0.0
0.4000000000000002,-69.77378216027043,-69.77378216027043,0.0
0.4250000000000002,-69.76616774787169,-69.76616774787169,0.0
0.45000000000000023,-69.75864032428447,-69.75864032428447,0.0
0.47500000000000026,-69.75119088866288,-69.75119088866288,0.0
0.5000000000000002,-69.7438118559625,-69.7438118559625,0.0
0.5250000000000001,-69.73649681105583,-69.73649681105583,0.0
0.55,-69.72924030941832,-69.72924030941832,0.0
0.575,-69.72203771393148,-69.72203771393148,0.0
0.5999999999999999,-69.71488506046512,-69.71488506046512,0.0
0.6249999999999998,-69.70777894677286,-69.70777894677286,0.0
0.6499999999999997,-69.700716440458,-69.700716440458,0.0
0.6749999999999996,-69.69369500262808,-69.69369500262808,0.0
0.6999999999999995,-69.68671242449967,-69.68671242449967,0.0
0.7249999999999994,-69.67976677471398,-69.67976677471398,0.0
0.7499999999999993,-69.67285635552207,-69.67285635552207,0.0
0.7749999999999992,-69.66597966632115,-69.66597966632115,0.0
0.7999999999999992,-69.65913537328649,-69.65913537328649,0.0
0.8249999999999991,-69.65232228406026,-69.65232228406026,0.0
0.849999999999999,-69.6455393266372,-69.6455393266372,0.0
0.8749999999999989,-69.63878553173446,-69.63878553173446,0.0
0.8999999999999988,-69.63206001805501,-69.63206001805501,0.0
0.9249999999999987,-69.6253619799552,-69.6253619799552,0.0
0.9499999999999986,-69.61869067711017,-69.61869067711017,0.0
0.9749999999999985,-69.61204542584082,-69.61204542584082,0.0
0.9999999999999984,-69.60542559182285,-69.60542559182285,0.0
1.0249999999999984,-69.59883058394627,-69.59883058394627,0.0
1.0499999999999983,-69.59225984913294,-69.59225984913294,0.0
1.0749999999999982,-69.58571286795289,-69.58571286795289,0.0
1.099999999999998,-69.57918915090646,-69.57918915090646,0.0
1.124999999999998,-69.57268823526258,-69.57268823526258,0.0
1.149999999999998,-69.56620968236157,-69.56620968236157,0.0
1.1749999999999978,-69.55975307530667,-69.55975307530667,0.0
1.1999999999999977,-69.5533180169808,-69.5533180169808,0.0
1.2249999999999976,-69.54690412833646,-69.54690412833646,0.0
1.2499999999999976,-69.54051104691476,-69.54051104691476,0.0
1.2749999999999975,-69.53413842555719,-69.53413842555719,0.0
1.2999999999999974,-69.52778593128002,-69.52778593128002,0.0
1.3249999999999973,-69.52145324428591,-69.52145324428591,0.0
1.3499999999999972,-69.5151400570916,-69.5151400570916,0.0
1.3749999999999971,-69.50884607375427,-69.50884607375427,0.0
1.399999999999997,-69.50257100918168,-69.50257100918168,0.0
1.424999999999997,-69.49631458851391,-69.49631458851391,0.0
1.4499999999999968,-69.49007654656637,-69.49007654656637,0.0
1.4749999999999968,-69.48385662732538,-69.48385662732538,0.0
1.4999999999999967,-69.4776545834892,-69.4776545834892,0.0
1.5249999999999966,-69.47147017604829,-69.47147017604829,0.0
1.5499999999999965,-69.46530317389967,-69.46530317389967,0.0
1.5749999999999964,-69.45915335349122,-69.45915335349122,0.0
1.5999999999999963,-69.45302049849198,-69.45302049849198,0.0
1.6249999999999962,-69.44690439948559,-69.44690439948559,0.0
1.6499999999999961,-69.44080485368403,-69.44080485368403,0.0
1.674999999999996,-69.43472166465965,-69.43472166465965,0.0
1.699999999999996,-69.42865464209329,-69.42865464209329,0.0
1.7249999999999959,-69.42260360153706,-69.42260360153706,0.0
1.7499999999999958,-69.41656836419027,-69.41656836419027,0.0
1.7749999999999957,-69.41054875668728,-69.41054875668728,0.0
1.7999999999999956,-69.40454461089627,-69.40454461089627,0.0
1.8249999999999955,-69.398555763728,-69.398555763728,0.0
1.8499999999999954,-69.39258205695364,-69.39258205695364,0.0
1.8749999999999953,-69.38662333703117,-69.38662333703117,0.0
1.8999999999999952,-69.38067945493951,-69.38067945493951,0.0
1.9249999999999952,-69.37475026602004,-69.37475026602004,0.0
1.949999999999995,-69.36883562982483,-69.36883562982483,0.0
1.974999999999995,-69.36293540997124,-69.36293540997124,0.0
1.999999999999995,-69.3570494740026,-69.3570494740026,0.0
2.024999999999995,-69.35117769325431,-69.35117769325431,0.0
2.0499999999999954,-69.3453199427255,-69.3453199427255,0.0
2.0749999999999957,-69.33947610095538,-69.33947610095538,0.0
2.099999999999996,-69.33364604990463,-69.33364604990463,0.0
2.1249999999999964,-69.32782967484108,-69.32782967484108,0.0
2.149999999999997,-69.32202686422978,-69.32202686422978,0.0
2.174999999999997,-69.3162375096271,-69.3162375096271,0.0
2.1999999999999975,-69.31046150557869,-69.31046150557869,0.0
2.224999999999998,-69.30469874952118,-69.30469874952118,0.0
2.2499999999999982,-69.2989491416874,-69.2989491416874,0.0
2.2749999999999986,-69.29321258501497,-69.29321258501497,0.0
2.299999999999999,-69.28748898505809,-69.28748898505809,0.0
2.3249999999999993,-69.28177824990254,-69.28177824990254,0.0
2.3499999999999996,-69.27608029008354,-69.27608029008354,0.0
2.375,-69.27039501850648,-69.27039501850648,0.0
2.4000000000000004,-69.2647223503704,-69.2647223503704,0.0
2.4250000000000007,-69.25906220309416,-69.25906220309416,0.0
2.450000000000001,-69.25341449624499,-69.25341449624499,0.0
2.4750000000000014,-69.24777915146959,-69.24777915146959,0.0
2.5000000000000018,-69.24215609242749,-69.24215609242749,0.0
2.525000000000002,-69.23654524472674,-69.23654524472674,0.0
2.5500000000000025,-69.23094653586163,-69.23094653586163,0.0
2.575000000000003,-69.22535989515264,-69.22535989515264,0.0
2.600000000000003,-69.21978525368823,-69.21978525368823,0.0
2.6250000000000036,-69.21422254426878,-69.21422254426878,0.0
2.650000000000004,-69.20867170135212,-69.20867170135212,0.0
2.6750000000000043,-69.20313266100109,-69.20313266100109,0.0
2.7000000000000046,-69.19760536083274,-69.19760536083274,0.0
2.725000000000005,-69.19208973996913,-69.19208973996913,0.0
2.7500000000000053,-69.18658573898986,-69.18658573898986,0.0
2.7750000000000057,-69.18109329988609,-69.18109329988609,0.0
2.800000000000006,-69.17561236601604,-69.17561236601604,0.0
2.8250000000000064,-69.17014288206202,-69.17014288206202,0.0
2.8500000000000068,-69.1646847939888,-69.1646847939888,0.0
2.875000000000007,-69.15923804900324,-69.15923804900324,0.0
2.9000000000000075,-69.15380259551543,-69.15380259551543,0.0
2.925000000000008,-69.14837838310096,-69.14837838310096,0.0
2.950000000000008,-69.14296536246435,-69.14296536246435,0.0
2.9750000000000085,-69.1375634854038,-69.1375634854038,0.0
3.000000000000009,-69.13217270477698,-69.13217270477698,0.0
3.0250000000000092,-69.12679297446792,-69.12679297446792,0.0
3.0500000000000096,-69.12142424935502,-69.12142424935502,0.0
3.07500000000001,-69.11606648528002,-69.11606648528002,0.0
3.1000000000000103,-69.11071963901799,-69.11071963901799,0.0
3.1250000000000107,-69.1053836682483,-69.1053836682483,0.0
3.150000000000011,-69.10005853152646,-69.10005853152646,0.0
3.1750000000000114,-69.09474418825691,-69.09474418825691,0.0
3.2000000000000117,-69.08944059866667,-69.08944059866667,0.0
3.225000000000012,-69.08414772377976,-69.08414772377976,0.0
3.2500000000000124,-69.07886552539257,-69.07886552539257,0.0
3.275000000000013,-69.07359396604986,-69.07359396604986,0.0
3.300000000000013,-69.06833300902161,-69.06833300902161,0.0
3.3250000000000135,-69.0630826182806,-69.0630826182806,0.0
3.350000000000014,-69.05784275848067,-69.05784275848067,0.0
3.375000000000014,-69.05261339493568,-69.05261339493568,0.0
3.4000000000000146,-69.04739449359914,-69.04739449359914,0.0
3.425000000000015,-69.0421860210445,-69.0421860210445,0.0
3.4500000000000153,-69.036987944446,-69.036987944446,0.0
3.4750000000000156,-69.03180023156021,-69.03180023156021,0.0
3.500000000000016,-69.02662285070808,-69.02662285070808,0.0
3.5250000000000163,-69.02145577075763,-69.02145577075763,0.0
3.5500000000000167,-69.01629896110705,-69.01629896110705,0.0
3.575000000000017,-69.01115239166855,-69.01115239166855,0.0
3.6000000000000174,-69.00601603285247,-69.00601603285247,0.0
3.6250000000000178,-69.00088985555212,-69.00088985555212,0.0
3.650000000000018,-68.99577383112886,-68.99577383112886,0.0
3.6750000000000185,-68.99066716390453,-68.99066716390453,0.0
3.700000000000019,-68.98557001715945,-68.98557001715945,0.0
3.725000000000019,-68.98048261960015,-68.98048261960015,0.0
3.7500000000000195,-68.97540507028364,-68.97540507028364,0.0
3.77500000000002,-68.97033740476229,-68.97033740476229,0.0
3.8000000000000203,-68.96527962886226,-68.96527962886226,0.0
3.8250000000000206,-68.96023173427939,-68.96023173427939,0.0
3.850000000000021,-68.95519370581914,-68.95519370581914,0.0
3.8750000000000213,-68.95016552481518,-68.95016552481518,0.0
3.9000000000000217,-68.94514717078798,-68.94514717078798,0.0
3.925000000000022,-68.94013862228292,-68.94013862228292,0.0
3.9500000000000224,-68.93513985731815,-68.93513985731815,0.0
3.9750000000000227,-68.93015085364068,-68.93015085364068,0.0
4.000000000000023,-68.92517158888391,-68.92517158888391,0.0
4.0250000000000234,-68.92020204067097,-68.92020204067097,0.0
4.050000000000024,-68.91524218668596,-68.91524218668596,0.0
4.075000000000024,-68.91029200472458,-68.91029200472458,0.0
4.1000000000000245,-68.90535147273076,-68.90535147273076,0.0
4.125000000000025,-68.90042056882285,-68.90042056882285,0.0
4.150000000000025,-68.89549927131229,-68.89549927131229,0.0
4.175000000000026,-68.8905875587163,-68.8905875587163,0.0
4.200000000000026,-68.88568540976604,-68.88568540976604,0.0
4.225000000000026,-68.88079280341124,-68.88079280341124,0.0
4.250000000000027,-68.875909718822,-68.875909718822,0.0
4.275000000000027,-68.87103613538862,-68.87103613538862,0.0
4.300000000000027,-68.86617203271963,-68.86617203271963,0.0
4.325000000000028,-68.86131739063873,-68.86131739063873,0.0
4.350000000000028,-68.85647218918074,-68.85647218918074,0.0
4.375000000000028,-68.85163640858691,-68.85163640858691,0.0
4.400000000000029,-68.84681002929986,-68.84681002929986,0.0
4.425000000000029,-68.84199303195805,-68.84199303195805,0.0
4.4500000000000295,-68.83718539739026,-68.83718539739026,0.0
4.47500000000003,-68.8323871066098,-68.8323871066098,0.0
4.50000000000003,-68.82759814080889,-68.82759814080889,0.0
4.5250000000000306,-68.82281848135294,-68.82281848135294,0.0
4.550000000000031,-68.81804810977506,-68.81804810977506,0.0
4.575000000000031,-68.81328700777054,-68.81328700777054,0.0
4.600000000000032,-68.80853515719154,-68.80853515719154,0.0
4.625000000000032,-68.80379254004202,-68.80379254004202,0.0
4.650000000000032,-68.79905913847267,-68.79905913847267,0.0
4.675000000000033,-68.79433493477615,-68.79433493477615,0.0
4.700000000000033,-68.78961991138242,-68.78961991138242,0.0
4.725000000000033,-68.78491405085428,-68.78491405085428,0.0
4.750000000000034,-68.78021733588308,-68.78021733588308,0.0
4.775000000000034,-68.77552974928456,-68.77552974928456,0.0
4.8000000000000345,-68.77085127399488,-68.77085127399488,0.0
4.825000000000035,-68.76618189306684,-68.76618189306684,0.0
4.850000000000035,-68.76152158966619,-68.76152158966619,0.0
4.8750000000000355,-68.75687034706809,-68.75687034706809,0.0
4.900000000000036,-68.75222814865373,-68.75222814865373,0.0
4.925000000000036,-68.7475949779071,-68.7475949779071,0.0
4.950000000000037,-68.74297081841186,-68.74297081841186,0.0
4.975000000000037,-68.73835565384834,-68.73835565384834,0.0
5.000000000000037,-68.73374946799062,-68.73374946799062,0.0
5.025000000000038,-68.72915224470377,-68.72915224470377,0.0
5.050000000000038,-68.7245639679412,-68.7245639679412,0.0
5.075000000000038,-68.71998462174203,-68.71998462174203,0.0
5.100000000000039,-68.71541419022869,-68.71541419022869,0.0
5.125000000000039,-68.71085265760446,-68.71085265760446,0.0
5.150000000000039,-68.7063000081512,-68.7063000081512,0.0
5.17500000000004,-68.70175622622713,-68.70175622622713,0.0
5.20000000000004,-68.69722129626471,-68.69722129626471,0.0
5.2250000000000405,-68.69269520276855,-68.69269520276855,0.0
5.250000000000041,-68.68817793031344,-68.68817793031344,0.0
5.275000000000041,-68.68366946354244,-68.68366946354244,0.0
5.300000000000042,-68.679169787165,-68.679169787165,0.0
5.325000000000042,-68.67467888595517,-68.67467888595517,0.0
5.350000000000042,-68.67019674474994,-68.67019674474994,0.0
5.375000000000043,-68.6657233484475,-68.6657233484475,0.0
5.400000000000043,-68.66125868200562,-68.66125868200562,0.0
5.425000000000043,-68.65680273044019,-68.65680273044019,0.0
5.450000000000044,-68.65235547882362,-68.65235547882362,0.0
5.475000000000044,-68.64791691228342,-68.64791691228342,0.0
5.500000000000044,-68.6434870160008,-68.6434870160008,0.0
5.525000000000045,-68.63906577520933,-68.63906577520933,0.0
5.550000000000045,-68.63465317519359,-68.63465317519359,0.0
5.5750000000000455,-68.6302492012879,-68.6302492012879,0.0
5.600000000000046,-68.62585383887513,-68.62585383887513,0.0
5.625000000000046,-68.62146707338549,-68.62146707338549,0.0
5.6500000000000465,-68.61708889029536,-68.61708889029536,0.0
5.675000000000047,-68.61271927512625,-68.61271927512625,0.0
5.700000000000047,-68.60835821344364,-68.60835821344364,0.0
5.725000000000048,-68.60400569085597,-68.60400569085597,0.0
5.750000000000048,-68.59966169301367,-68.59966169301367,0.0
5.775000000000048,-68.59532620560815,-68.59532620560815,0.0
5.800000000000049,-68.59099921437084,-68.59099921437084,0.0
5.825000000000049,-68.58668070507235,-68.58668070507235,0.0
5.850000000000049,-68.58237066352153,-68.58237066352153,0.0
5.87500000000005,-68.5780690755646,-68.5780690755646,0.0
5.90000000000005,-68.5737759270844,-68.5737759270844,0.0
5.9250000000000504,-68.56949120399952,-68.56949120399952,0.0
5.950000000000051,-68.56521489226355,-68.56521489226355,0.0
5.975000000000051,-68.56094697786438,-68.56094697786438,0.0
6.0000000000000515,-68.55668744682336,-68.55668744682336,0.0
